Отметка времени,İşlədiyiniz müəssisənin növü,Elmi tədqiqatın ixtisas sahəsi  ,Vəzifəniz (ştat və ya yarımştat),Neçə ildir elmi rəhbər kimi çalışırsınız?,Hazırda rəhbərlik etdiyiniz doktorantların sayı  ,Çalışdığınız müəssisənin yerləşdiyi region,Elmi rəhbərlik forması, Tələbələrinizlə rəsmi elmi rəhbərlik görüşlərinin tezliyi ,Doktorantura proqramının başlanğıcında gözləntilər sizə aydın olurmu?,Akademik avtoritet kimi çıxış etmək,Tədqiqat metodlarını öyrətmək,Elmi etikaya yüksək səviyyədə riayət olunmasını təmin etmək ,İmtahanlara hazırlanma prosesində iştirak ,Nəşrlərlə bağlı məsləhət və dəstək vermək  ,Doktorantı şəxsi elmi tədqiqat layihələrinə cəlb etmək ,Elmi rəhbər kimi öhdəliklərimi səmərəli şəkildə yerinə yetirmək üçün kifayət qədər vaxtım var,Müəssisə doktorantlara elmi rəhbərlik üçün kifayət qədər inzibati dəstək göstərir ,Çalışdığım müəssisədə elmi rəhbərlər üçün təlim imkanları əlçatandır ,Dissertasiya şurasının prosedurları elmi keyfiyyəti və işin vaxtında tamamlanmasını təmin edir ,Mövcud maliyyələşdirmə mexanizmləri doktoranturanın uğurla tamamlanması üçün kifayətdir,Doktorantlar ümumilikdə dissertasiyanın təqdimatı və müdafiəsi üçün hazırlıqlı olurlar,Doktorantların təhsilini uğurla başa vurmaq üçün tələb olunan kurslarda iştirak etmək imkanları kifayət qədərdirmi?  ,Doktorantlarımın əksəriyyəti təhsillərini gözlənilən müddət ərzində uğurla tamamlaya bilirlər,Doktoranturanın tamamlanmasında yaranan gecikmələrin əksəriyyəti doktorantın özündən asılı olmayan amillərlə bağlıdır ,"Təcrübənizə əsasən, müəssisənizdə doktorantların doktorantura layihəsini tamamlaması üçün tələb olunan orta müddət nə qədərdir? ",Doktorantura proqramlarının icrası doktorantların akademik olmayan mühitdə karyerasının formalaşmasına da xidmət edir,Doktorantlarımla akademiyadan kənarda karyera imkanlarını müzakirə edirəm ,Rəhbərlik etdiyim doktorantlar ümumilikdə akademiyadan kənar məşğulluq üçün yaxşı hazırlaşmış olurlar ,Doktorantlar təhsilləri müddətində tez-tez yüksək stress yaşayırlar ,İnstitusional dəstək elmi rəhbərlərə doktorantların rifahı ilə bağlı məsələləri effektiv şəkildə həll etməyə imkan verir,Elmi rəhbərlər münaqişələrin həlli prosedurları barədə kifayət qədər məlumatlandırılmışdırlar  ,Tədqiqat etikası qaydalarını doktorantlara izah etmək və onları istiqamətləndirmək baxımından özünüzü nə dərəcədə hazır hesab edirsiniz?  ,Doktorantlara tədqiqat metodları üzrə təlim verməyə cavabdeh şəxs sizsinizmi?  ,"Doktorantlara elmi rəhbərlik üçün süni intellekt alətlərindən istifadə edirəm (məsələn, rəy vermə, ədəbiyyat axtarışı, üslubun yoxlanılması) ",Doktorantlarla süni intellekt alətlərindən düzgün istifadə məsələlərini müzakirə edirəm ,Müəssisədə doktorantura tədqiqatı və elmi rəhbərlikdə süni intellekt istifadəsi ilə bağlı aşkar qaydalar mövcuddur ,"Zəhmət olmasa, islahat üçün ən vacib hesab etdiyiniz üç istiqaməti seçin:  ",Doktoranturada elmi rəhbərliyin keyfiyyətini artırmaq üçün hansı dəyişiklik ən böyük təsir göstərə bilər?  ,Doktorantura təhsilinin təkmilləşdirilməsi ilə bağlı əlavə şərh və ya təkliflərinizi qeyd edin   
19.03.2026 10:13:42,Universitet,Clinical Psychology,Stat,8,5,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Çox vacibdir,Çox vacibdir,Raziyam,Raziyam,Raziyam,Raziyam,Qismən razıyam,Raziyam,Qismən kifayətdir,Cavab verməkdə çətinlik çəkirəm,Çox razıyam,3-4 il,Raziyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Raziyam,Qismən hazıram,"Xeyr, bu əsasən formal kurslar və ya digər bölmələr tərəfindən təmin olunur",Qismən razıyam,Raziyam,Raziyam,"Elmi rəhbərlərin təlimi və peşəkar inkişafı, Doktorantlar üçün maliyyə dəstəyi, Rifah və psixi sağlamlıq dəstəyi",,
19.03.2026 10:23:41,Universitet,Earth Sciences,"kafedra müdiri, professor",20,2,Bakı,Individual,Ayda bir dəfə,Qismən aydındır,Çox vacibdir,Vacibdir,Vacibdir,Vacib deyil,Çox vacibdir,Vacibdir,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Raziyam,Qismən kifayətdir,Qismən razıyam,Raziyam,5-6 il,Qismən razıyam,Raziyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Heç razı deyiləm,Qismən razıyam,Qismən razıyam,"Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi",Doktorantlara elmi rəhəbrlik üçün verilən saatların miqdarı artırılmalıdır,"Doktorantın vaxtında dissertasiyasını müdafiə etmək üçün o mütləq ezamiyyətə, ekspedisiyalara getmək, toplanan materialı analiz etmək üçün müəssisə tərəfindən müəyyən qədər maliyyə dəstəyi lazımdır"
19.03.2026 10:53:05,Elmi-tədqiqat İnstitutu,"Population Geography, Economic Geography",aparıcı elmi işçi,10,4,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Çox vacibdir,Çox vacibdir,Vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Qismən razıyam,Raziyam,Raziyam,Raziyam,Heç razı deyiləm,Raziyam,Əsasən kifayət deyil,Qismən razıyam,Raziyam,3-4 il,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Raziyam,Raziyam,Qismən razıyam,Çox hazıram,"Bəli, əsasən mən",Heç razı deyiləm,Qismən razıyam,Qismən razıyam,"Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi, Rifah və psixi sağlamlıq dəstəyi","Alimin maliyyə dəstəyi olmalıdır ki, doktorantlarla birlikdə elmi tədqiqatlara daha çox vaxt ayırsın. ","Bu təhsildə doktorantların daha çox çətinliyi xarici dil problemi olur, bu istiqamətdə digər dillərdən istifadə etmək olar. Konfranslarda çıxışlara və məqalə yazılmasına üstünlük vermək və bu işləri qiymətləndirmək. Tədqiqatın 4 il olması daha yaxşı olar. Alimi elminə görə qiymətləndirmək, AAK üçün yaxşı olardı ki, rəhmətlik alimimiz Azad müəllimin rəhbərlik dövrünə qayıdış etsin. Sizə uğurlar.  "
19.03.2026 11:12:59,,,,,,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Vacibdir,Qismən əhəmiyyətlidir,Az əhəmiyyətlidir,Az əhəmiyyətlidir,Az əhəmiyyətlidir,Az əhəmiyyətlidir,Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Tam kifayətdir,Qismən razıyam,Qismən razıyam,3 ildən az,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Elmi rəhbərlərin iş yükü və vaxt bölgüsü,,
19.03.2026 11:19:37,Universitet,Monetary Sector of the Economy,Dosent,5,3,Bakı,Individual,3 ayda bir dəfə,Çox aydındır,Vacibdir,Vacibdir,Vacibdir,Qismən əhəmiyyətlidir,Vacibdir,Vacibdir,Raziyam,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Raziyam,Heç razı deyiləm,Qismən razıyam,Qismən kifayətdir,Qismən razıyam,Heç razı deyiləm,3-4 il,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Heç razı deyiləm,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,"Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlik üçün institusional dəstək, Elmi rəhbərlərin təlimi və peşəkar inkişafı",Elmi rəhbərliyə ayrılan saatların və ödənişin dəflərlə artırılması,"Doktorantların aralıq və yekun attestasiyasının formatının təkmilləşdirilməsi. Məsələn, aralıq attestasiya layihələr və məqalə nəşrləri əsasında keçirilə bilər, yekun attestasiya isə yalnız dissertasiya müdafiəsi şəklində ola bilər"
19.03.2026 11:51:44,Universitet,Microbiology,Mikrobiologiya və Virusologiya elmi-tədqiqat laboratoriyasının müdiri ( Tam ştat) ,43,5,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Çox vacibdir,Çox vacibdir,Çox vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Qismən razıyam,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Əsasən kifayət deyil,Çox razıyam,Qismən razıyam,3-4 il,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Raziyam,Qismən razıyam,Qismən razıyam,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Qismən razıyam,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlik üçün institusional dəstək","
Elmi rəhbərin son 5-10 ildəki elmi fəaliyyəti: elmmetrik bazalara daxil olan Beynəlxalq jurnallardakı elmi nəşrləri.","1.Qiyabi doktorantura təhsili ləğv olunmalıdir. Bu yolla Azərbaycanda dissertasiya hazırlayanların 99.9%-inin elmdən xəbəri olmur. 2.Xarici elmi ədəbiyyatı orjinaldan oxuya bilməyənlərə elmi rəhbərlik ixtiyarı verməmək.3. Ali Attestasiya Komissiyasındakı ekspert şuralarını ləğv etmək.Bu şuraların tərkibi və fəaliyyəti bi qayda olaraq qeyri- normaldır. 4 Azərbaycanda dissertasiyanın müdafiəsi işinnin  reformaya ciddi ehtiyacı var.Əks halda Butun nazirlər və onların katibələrinə gədər olan işçiləri, Milli məclisin bütün üzvləri və onların köməkçiləri, İş adamları və onların köməkçilərinin əksəriyyəti elmlər doktoru diplomunu əldə etmiş olurlar. Fəlsəfə doktoru və elmlər doktoru elmi dərəcəsini yalnız elmi müəssisədə işləyənlər dissertantura yolu ilə, digər ali təhsillilər isə yalnız əyani doktorantura yolu ilə əldə etməlidirlər. Eksperimental sahələrdə doktorandura təhsilinin müddəti ən azı 4-5 il olmalıdır."
19.03.2026 15:42:12,Universitet,History,ştat,3,3,Bakı,Joint ,Ayda bir dəfə,Çox aydındır,Vacibdir,Vacibdir,Vacibdir,Az əhəmiyyətlidir,Vacibdir,Az əhəmiyyətlidir,Qismən razıyam,Raziyam,Raziyam,Raziyam,Qismən razıyam,Qismən razıyam,Qismən kifayətdir,Qismən razıyam,Qismən razıyam,3-4 il,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Qismən razıyam,Qismən razıyam,Qismən razıyam,"Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlik üçün institusional dəstək, Tədqiqat etikası və akademik dürüstlük prosedurları",Elmi rəhbərlik üçün institusional dəstək,Qaydaların sadələşdirilməsi
19.03.2026 18:30:08,Universitet,Pedagogy,Tam ştat,4,1,Bakı,Individual,3 ayda bir dəfə,Çox aydındır,Qismən əhəmiyyətlidir,Çox vacibdir,Çox vacibdir,Vacib deyil,Çox vacibdir,Vacibdir,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Əsasən kifayət deyil,Qismən razıyam,Raziyam,4-5 il,Qismən razıyam,Heç razı deyiləm,Raziyam,Çox razıyam,Qismən razıyam,Qismən razıyam,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,"Elmi rəhbərlik üçün institusional dəstək, Elmi rəhbərlərin təlimi və peşəkar inkişafı, Doktorantlar üçün maliyyə dəstəyi","Məncə limitli məqalə sayı götürülsə, doktorantlar sanki üzərində yük hesab edirlər fəlsəfə üzrə 5, doktorluq üzrə 17 bu cür tədqiqat boşluq yaradır. Elə doktorant var dissertasiya işi hazlr deyil amma plan üzrə məqalələri hazırdı, necə olur məqalələr hazlrdı amma məqaləni əhatə edən dissertasiya mövzusu yox, tədqiqat aparmaq əlçatan və rahat olmalıdır və s.","Kaş ki, doktorluq proqramı üzlə müdafiə nəzəriyyə yazmaqdansa tıdqiqatını əhatə edən kitab və digər elmi fəaliyyətlərə görə təşkil olunardı. Hesab edirəm tədqiqat mövzusu nəzəri yazılardansa praktik tıcrübələr əsaslı olardı"
19.03.2026 22:54:32,Universitet,Criminal Law and Criminology; Penal Enforcement Law (5611.01),"kafedra müdiri, professor",15,5,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Çox vacibdir,Vacib deyil,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Heç razı deyiləm,Raziyam,Qismən kifayətdir,Qismən razıyam,Raziyam,3-4 il,Raziyam,Raziyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Çox hazıram,"Bəli, əsasən mən",Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Tədqiqat etikası və akademik dürüstlük prosedurları, Rifah və psixi sağlamlıq dəstəyi","elmi rəhbərin seçimi tədqiqat sahəsinə tam uyğun olmalıdır, yəni elmi rəhbərin tədqiqat sahəsi doktorantın seçdiyi elm sahəsilə üst-üstə gəlməlidir. Təəssüf ki, son zamanlar hüquq üzrə aparılan tədqiqatlarda bu qayda gözlənilmir və elmi rəhbər seçilərkən onun hansı hüquq sahəsi üzrə alimlik dərəcəsinin olmağı nəzərə alınmır.","Dissertasiya şuralarının sayları artırılmalıdır, bu sahədə olan ""monopoliyaların"" yaranmasına yol verilməməlidir"
21.03.2026 16:23:41,Universitet,Teaching Methodology,Professor ştat,18,5,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Çox vacibdir,Çox vacibdir,Vacibdir,Qismən əhəmiyyətlidir,Çox vacibdir,Vacibdir,Raziyam,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Heç razı deyiləm,Raziyam,Əsasən kifayət deyil,Raziyam,Qismən razıyam,3-4 il,Qismən razıyam,Raziyam,Raziyam,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Raziyam,Raziyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi",Maliyə yardımı və əvəzində hesabat almaq,Ali attestasiya komissiyadının müsbət qərarına qədər iddiaçını dəstəkləmək hüququnun verilməsi
21.03.2026 16:51:48,Elmi-tədqiqat İnstitutu,Biology,Şöbə müdiri,35,5,Bakı,Individual,Ayda bir dəfə,Qismən aydındır,Vacibdir,Vacibdir,Vacibdir,Vacib deyil,Vacibdir,Qismən əhəmiyyətlidir,Raziyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Heç razı deyiləm,Heç razı deyiləm,Əsasən kifayət deyil,Heç razı deyiləm,Raziyam,3-4 il,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Çox hazıram,"Bəli, əsasən mən",Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, Tədqiqat etikası və akademik dürüstlük prosedurları, Doktorantlar üçün maliyyə dəstəyi",,Doktoranturya universitetləri əla qiymətlərlə bitirmiş öyrəciləri qəbul etmək. Çox hallarda ən zəif tələbələr qəbul edilir və onlarla ləmək çətin olur.
21.03.2026 20:20:40,Hər ikisi,Architecture,"AMEA-nın Memarlıq və İncəsənət İnstitutu ""Memarlıq abidələrinin qorunması və bərpa problemləri""-şöbəsinin müdiri-ştat, Az.MİU-yaımştat",10,5,Bakı,Individual,,Qismən aydındır,Vacibdir,Vacibdir,Çox vacibdir,Qismən əhəmiyyətlidir,Vacibdir,Qismən əhəmiyyətlidir,Qismən razıyam,Raziyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Raziyam,Qismən kifayətdir,Heç razı deyiləm,Heç razı deyiləm,4-5 il,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Çox hazıram,,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Münaqişələrin həlli mexanizmləri",Doktorantların kvartalda attestasiyası,Doktorantların vaxtında tədqiqat işini təhvil vermələri üçün müəyyən tələblərin qoyulması və xarici dil imtahanlarının yüngülləşdirilməsi.
22.03.2026 7:31:57,Universitet,Agrochemistry,Kafedranın dosenti,20,1,Bakı,Individual,Həftədə bir dəfə,Qismən aydındır,Vacibdir,Qismən əhəmiyyətlidir,Qismən əhəmiyyətlidir,Az əhəmiyyətlidir,Qismən əhəmiyyətlidir,Qismən əhəmiyyətlidir,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Raziyam,Qismən kifayətdir,Qismən razıyam,Qismən razıyam,3-4 il,Qismən razıyam,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Çox hazıram,"Bəli, əsasən mən",Heç razı deyiləm,Heç razı deyiləm,Raziyam,"Attestasiya və dissertasiya şurası prosedurları, Qaydaların aydınlığı və sabitliyi, Elmi rəhbərlərin iş yükü və vaxt bölgüsü",İş yükü və vaxt bölgüsü,"Laboratoriya şəraitinin və Maddi texniki təminatın yaxşılaşdırılması ,beynəlxalq konfranslarda iştirak üçün ,beynəlxalq kitabxana resurslarından istifadə üçün Maddi dəstək"
22.03.2026 19:09:36,Universitet,Historiography,tam ştat müəllim,6,3,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Vacibdir,Çox vacibdir,Çox vacibdir,Vacib deyil,Vacibdir,Vacibdir,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Əsasən kifayət deyil,Raziyam,Raziyam,3-4 il,Qismən razıyam,Heç razı deyiləm,Raziyam,Raziyam,Heç razı deyiləm,Heç razı deyiləm,Qismən hazıram,"Xeyr, bu əsasən formal kurslar və ya digər bölmələr tərəfindən təmin olunur",Qismən razıyam,Qismən razıyam,Raziyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Doktorantlar üçün maliyyə dəstəyi","Doktoranturanın birpilləli sistemə keçməsini istərdim. Sovet təhsil sistemindən imtina edilsə də, bu sahədə dəyişiklik yalnız ad dəyişilməsində oldu:Aspirantura doktorantura ilə əvəz olundu ",Doktoratların qısa zaman kəsiyində müdafiəsini yetərli saymıram. Bunun üçün yetkin düşüncə və mənbələrdən birbaşa istifadə vacibdir.Buna isə bu müddət yetərli deyil. 
22.03.2026 20:02:37,Universitet,Physics,Professor,43,1,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Vacibdir,Çox vacibdir,Çox vacibdir,Vacib deyil,Çox vacibdir,Çox vacibdir,Çox razıyam,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Qismən razıyam,Raziyam,Ümumilikdə kifayət deyil,Qismən razıyam,Çox razıyam,3-4 il,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Heç razı deyiləm,Raziyam,Raziyam,Qismən razıyam,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Raziyam,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlik üçün institusional dəstək, Tədqiqat etikası və akademik dürüstlük prosedurları, Doktorantlar üçün maliyyə dəstəyi, Rifah və psixi sağlamlıq dəstəyi, Münaqişələrin həlli mexanizmləri",h-indeksi 6-dan aşağı olan alimlər elmi rəhbər olmasın. Elmi rəhbərlərin müəssisədə kollegiysı yaradılsın və müəssisə rəhbərlərinin bilavasitə iştirakı ilə mövcud problemlərin və qabaqcıl təcrübələrin müzakirələri aparılsın. Kollegiya iclasları ildə 2 dəfədən az olmayaraq keçirilsin.,"Qeyri-profil fənnlərin doktorantlara tədrisinə yol verilməsin, ildə 2 dəfə doktorantların geniş formatlı seminarlarda çıxış etməsi tələb olunsun."
23.03.2026 14:03:21,Universitet,Philosophy and Sociology,professor,30,2,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Çox vacibdir,Çox vacibdir,Çox vacibdir,Çox vacibdir,Çox vacibdir,Az əhəmiyyətlidir,Qismən razıyam,Raziyam,Raziyam,Raziyam,Raziyam,Qismən razıyam,Tam kifayətdir,Çox razıyam,Qismən razıyam,4-5 il,Raziyam,Raziyam,Raziyam,Qismən razıyam,Raziyam,Raziyam,Qismən hazıram,"Bəli, əsasən mən",Qismən razıyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,"Attestasiya və dissertasiya şurası prosedurları, İnzibati səmərəlilik və müddətlər, Qaydaların aydınlığı və sabitliyi, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi, Doktorantlar üçün maliyyə dəstəyi, Münaqişələrin həlli mexanizmləri",oxumaq və müdafiə etmək qaydaları,"güclü nəzarət olmalıdır, rəhbərin kompetensiyaları yüksək hazırlıqla əlaqəli olmalıdır, biganəliyə son qoyulmalıdır, elmi rəhbərin məsuliyyətini və görülən işə görə cavabdehlik mexanizmləri yaratmaq lazımdır"
23.03.2026 22:24:37,Universitet,Sociology,ştat,5,2,Bakı,Individual,Ayda bir dəfə,Qismən aydındır,Vacibdir,Çox vacibdir,Çox vacibdir,Vacib deyil,Vacibdir,Qismən əhəmiyyətlidir,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Raziyam,Əsasən kifayət deyil,Qismən razıyam,Raziyam,6 ildən çox,Raziyam,Raziyam,Raziyam,Çox razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Çox hazıram,"Xeyr, bu əsasən formal kurslar və ya digər bölmələr tərəfindən təmin olunur",Heç razı deyiləm,Raziyam,Cavab verməkdə çətinlik çəkirəm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Doktorantlar üçün maliyyə dəstəyi",Maddi motivasiya,"müdafiə üçün müddətsiz vaxt verilməsi, zaman çərçivəsinə məcbur salmamaq, çünki bu yaradıcı işdir, tədqiqat işi yetişməlidir."
25.03.2026 14:35:07,Universitet,Political Science,ştat,30,2,Bakı,Individual,Ayda bir dəfə,Qismən aydındır,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Çox vacibdir,Raziyam,Qismən razıyam,Qismən razıyam,Raziyam,Qismən razıyam,Qismən razıyam,Qismən kifayətdir,Heç razı deyiləm,Raziyam,3-4 il,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Çox hazıram,"Bəli, əsasən mən",Heç razı deyiləm,Qismən razıyam,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlərin təlimi və peşəkar inkişafı",elmi rəhbər ilə doktorant arsında daha sıx və keyfiyyətli görüşlərin keçirilməsi,"daha çox elmi konfranslarda iştirak və akademik mənbələrin dərindən təhlili, izlənilməsi"
27.03.2026 11:38:06,Universitet,Interdisciplinary Biology–Chemistry,professor,15,,Bakı,,Həftədə bir dəfə,Qismən aydındır,Vacibdir,Çox vacibdir,Vacibdir,Az əhəmiyyətlidir,Vacibdir,Vacibdir,,Raziyam,Raziyam,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Qismən kifayətdir,Qismən razıyam,Qismən razıyam,,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Heç razı deyiləm,Çox razıyam,"Attestasiya və dissertasiya şurası prosedurları, Qaydaların aydınlığı və sabitliyi, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Tədqiqat etikası və akademik dürüstlük prosedurları, Doktorantlar üçün maliyyə dəstəyi","doktorant seçimi,  saat yükü, maliyyə dəstəyi",
27.03.2026 21:30:58,Universitet,Political Science,ştat,20,3,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Vacib deyil,Vacibdir,Vacibdir,Qismən əhəmiyyətlidir,Vacibdir,Vacib deyil,Raziyam,Raziyam,Raziyam,Qismən razıyam,Qismən razıyam,Raziyam,Tam kifayətdir,Raziyam,Raziyam,3-4 il,Raziyam,Raziyam,Raziyam,Heç razı deyiləm,Qismən razıyam,Raziyam,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Raziyam,Raziyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi",Elmi rəhbərliklə bağlı mövcud qaydaları normal hesab edirəm  ,"Təklif edərdim ki, doktoranturada mövcud əsasnaməyə prosedur qaydalarla bağlı dəyişikliklər edilsin. Məs. doktorant attestasiyadan keçə bilməyəndə onlara əlavə vaxt verilsin, yaxud mövcud 3-4 illik təhsil müddətində müdafiə etmələri üçün ciddi şərait yaradılsın, Müdafiə Şuralarını müəyyən təhsil müəssisələri alır və kənardan gələn doktorantları müdafiə üçün qəbul etmirlər ki, öz doktorantlarımız üçün Şura almışıq, sizi buraxa bilmərik və s. Bu qeri-qanunu hərəkətlərin qarşısı alınmalıdır. Başqa bir problemə Müdafiə Şuralarında doktorantlardan əlvə vəsait (rüşvət) tələb olunmasının qarşısı alınsa yaxşı olar. Zatən əyani doktorant aldığı təqaüdlə elmi araşdırma aparması böyük qəhrəmanlıqdır. Əlavə kimlərəsə hardan vəsait verməlidir. Həmçinin tələb olunan məqalələrin sayı azaldılması yaxşı olardı. Doktorantın tələb olunan məqalələri nəşr etdirməsi üçün külli miqdarda vəsait tələb olunur. Bunuda vermək doktorantın maddi imkanları baxımından çətinlik yaradır. "
